Russian,English
американский,American
армия,army
ах,Oh
б,b
бабушка,grandmother
бежать,run
без,without
белый,white
берег,shore
беседа,conversation
близкий,close
богатый,rich
боец,fighter
бой,the battle
более,more
больной,sick
больше,more
большой,big
борьба,struggle
бояться,afraid
брат,brother
брать,take
бригада,Brigade
бригадир,Brigadier
бросить,Throw
броситься,To rush
будто,Like
будущий,future
бумага,paper
бы / б,would / b
бывать,to be
быстро,quickly
быть,be
в,V
в / во,in / in
вагон,railway carriage
важный,important
ваш,your
вверх,up
вдруг,all of a sudden
ведь,after all
век,century
великий,great
верить,believe
верно,right
вернуться,return
весело,funny
весёлый,funny
весна,Spring
вести,news
весь,All
ветер,wind
вечер,evening
вечером,in the evening
вещь,thing
взгляд,sight
взглянуть,Take a look
взрослый,adult
взять,take
вид,view
видеть,see
видно,it is seen
висеть,hang
власть,power
вместе,together
вместо,instead of
внимание,Attention
внимательно,attentively
вода,water
военный,military
возвращаться,come back
воздух,air
возле,near
возможность,possibility
война,war
войти,to come in
вокруг,around
волна,wave
волос,hair
вон,There
вообще,at all
вопрос,question
ворота,gates
восемь,eight
воспитание,upbringing
восьмой,eighth
вот,Here
впервые,first
вперёд,forward
впереди,Ahead
впечатление,impression
впрочем,however
враг,enemy
время,time
всё,All
всегда,always
вскоре,soon
вспоминать,recall
вспомнить,recall
встать,get up
встретить,meet
встретиться,Meet
встреча,meeting
всякий,any
второй,second
входить,enter
вчера,yesterday
вы,You
вызвать,call
выйти,log off
выполнение,performance
выполнить,Perform
выполнять,fulfill
вырасти,grow up
высокий,tall
выставка,Exhibition
выступать,protrude
выступить,perform
выходить,go out
г,G
газета,newspaper
где,Where
гектар,hectare
генерал,General
герой,hero
главный,main
глаз,eye
глядеть,look
говорить,speak
год,year
голова,head
голос,voice
голубь,pigeon
гора,mountain
гореть,Burn
город,city
городской,urban
горячий,hot
господин,Mr.
гость,the guest
государство,state
готовить,prepare
готовиться,prepare
готовый,ready
громко,loud
грудь,breast
группа,group
губа,lip
д,D.
да,Yes
давать,give
давно,for a long time
даже,even
далёкий,far
далеко,far
дальше,further
дать,to give
два,two
двадцать,twenty
двенадцать,twelve
дверь,Door
двести,two hundred
движение,movement
двор,yard
девочка,girl
девушка,young woman
девятый,ninth
девять,nine
девятьсот,nine hundreds
дежурный,duty
действительно,really
делать,do
дело,case
день,day
деньги,money
деревня,village
дерево,tree
держать,Keep
десяток,A dozen
десятый,tenth
десять,ten
деталь,detail
дети,children
детский,Children
директор,director
длинный,long
для,For
до,before
добиться,achieve
добрый,Kind
дождь,rain
доклад,report
доктор,doctor
долго,for a long time
должен,must
дом,house
дома,Houses
домой,home
дорога,road
дорогой,Expensive
доска,board
достать,Get out
друг,friend
другой,another
дружба,friendship
дружина,squad
думать,think
душа,soul
дядя,uncle
е,e
едва,barely
если,if
есть,eat
ехать,drive
ещё,more
ж,and
ждать,wait
же / ж,the same / w
железный,iron
жёлтый,yellow
жена,wife
женщина,woman
живой,alive
жизнь,life
жить,live
журнал,magazine
з,h
за,per
забыть,forget
завод,factory
завтра,tomorrow
заговорить,speak
задание,exercise
задача,a task
зайти,Come in
закон,law
закончить,finish
закричать,scream
зал,hall
заметить,notice
замечательный,wonderful
заниматься,study
занятие,class
затем,then
зачем,why
звать,call for
звонок,Call
звук,sound
здание,building
здесь,Here
здравствовать,Hello
зелёный,green
земля,Earth
зерно,corn
знакомый,familiar
знание,knowledge
знать,know
значить,to mean
золотой,gold
зуб,tooth
и,And
и,And
игра,a game
играть,play
идти,go
из / изо,from / art
известный,famous
из-за,due to
из-под,From under
или,or
именно,exactly
иметь,have
имя,name
иначе,otherwise
инженер,engineer
иногда,Sometimes
иной,Other
институт,Institute
интерес,interest
интересно,Interesting
интересный,interesting
искать,search
искусство,art
история,story
июль,July
к,to
к / ко,K / ko
кабинет,cabinet
каждый,every
казаться,seem
как,How
какой,which
камень,a rock
капитан,captain
карман,pocket
карта,map
картина,painting
квартира,apartment
килограмм,kilogram
километр,kilometer
кино,movie
класс,Class
клуб,club
книга,book
книжка,book
когда,when
"кое-где, кое-как, кое-какой, кое-когда, кое-кто, кое-что","In some places, somehow, some, some, some, some, something"
коллектив,team
колхоз,collective farm
колхозник,collective farmer
колхозный,collective farm
команда,command
командир,commander
комбайн,combine
комбинат,Combine
комитет,Committee
коммунизм,communism
коммунистический,communist
комната,room
комсомол,Komsomol
комсомолец,Komsomolets
комсомольский,Komsomol
конец,end
конечно,certainly
концерт,concert
корабль,ship
коридор,corridor
корова,cow
короткий,short
костёр,bonfire
который,which
край,Territory
красивый,beautiful
красный,red
крепкий,strong
крепко,Strong
крикнуть,shout
кричать,scream
кровать,bed
кроме,except
кружок,circle
крупный,large
крыша,roof
кто,who
куда,Where
культура,Culture
купить,buy
курс,well
кусок,piece
кухня,kitchen
л,l
лагерь,camp
ладно,OK
лампа,lamp
лёгкий,light
легко,easily
лёд,ice
лежать,lie
лес,forest
лета,summer
лететь,fly
лето,summer
летом,in summer
ли / ль,Li / L.
линия,line
лист,sheet
литература,literature
лицо,face
личный,private
лишь,only
лоб,forehead
лодка,boat
лошадь,horse
луна,moon
лучше,better
лучший,best
любимый,Darling
любить,be in love
любовь,Love
любой,any
люди,people
м,m
маленький,little
мало,few
малый,small
мальчик,boy
мама,Mama
мастер,master
мастерская,workshop
материал,material
матрос,sailor
мать,mother
машина,car
медленно,slowly
между,between
мера,measure
место,place
месяц,month
металл,metal
метр,meter
мечта,dream
мечтать,dream
мешать,interfere
миллион,million
милый,cute
мимо,by
минута,minute
мир,world
мнение,opinion
многий,Many
много,a lot of
можно,can
мой,my
молодёжь,the youth
молодой,young
молоко,milk
молча,Silently
молчать,Silence
море,sea
морской,nautical
моряк,sailor
московский,Moscow
мочь,To be able
муж,husband
музыка,music
мы,We
мысль,thought
н,n
на,on
наверно,probably
наверное,maybe
над,above
надо,necessary
назад,back
назвать,Name
называть,call
называться,To be called
найти,find
наконец,finally
написать,Write
например,For example
