,Russian,English
0,американский,American
1,армия,army
2,ах,Oh
3,б,b
4,бабушка,grandmother
5,бежать,run
6,без,without
7,белый,white
8,берег,shore
9,беседа,conversation
10,близкий,close
11,боец,fighter
12,бой,the battle
13,более,more
14,больной,sick
15,больше,more
16,большой,big
17,борьба,struggle
18,бояться,afraid
19,брат,brother
20,брать,take
21,бригада,Brigade
22,бригадир,Brigadier
23,бросить,Throw
24,броситься,To rush
25,будто,Like
26,будущий,future
27,бумага,paper
28,бы / б,would / b
29,бывать,to be
30,быстро,quickly
31,быть,be
32,в,V
33,в / во,in / in
34,вагон,railway carriage
35,важный,important
36,ваш,your
37,вверх,up
38,вдруг,all of a sudden
39,ведь,after all
40,век,century
41,великий,great
42,верить,believe
43,верно,right
44,вернуться,return
45,весело,funny
46,весёлый,funny
47,весна,Spring
48,вести,news
49,весь,All
50,ветер,wind
51,вечер,evening
52,вечером,in the evening
53,вещь,thing
54,взгляд,sight
55,взглянуть,Take a look
56,взрослый,adult
57,взять,take
58,вид,view
59,видеть,see
60,видно,it is seen
61,висеть,hang
62,власть,power
63,вместе,together
64,вместо,instead of
65,внимание,Attention
66,внимательно,attentively
67,вода,water
68,военный,military
69,возвращаться,come back
70,возле,near
71,возможность,possibility
72,война,war
73,войти,to come in
74,вокруг,around
75,волна,wave
76,волос,hair
77,вон,There
78,вообще,at all
79,вопрос,question
80,ворота,gates
81,восемь,eight
82,воспитание,upbringing
83,восьмой,eighth
84,вот,Here
85,впервые,first
86,вперёд,forward
87,впереди,Ahead
88,впечатление,impression
89,впрочем,however
90,враг,enemy
91,всё,All
92,всегда,always
93,вскоре,soon
94,вспоминать,recall
95,вспомнить,recall
96,встать,get up
97,встретить,meet
98,встретиться,Meet
99,встреча,meeting
100,всякий,any
101,второй,second
102,входить,enter
103,вчера,yesterday
104,вы,You
105,вызвать,call
106,выйти,log off
107,выполнение,performance
108,выполнить,Perform
109,выполнять,fulfill
110,вырасти,grow up
111,высокий,tall
112,выставка,Exhibition
113,выступать,protrude
114,выступить,perform
115,выходить,go out
116,г,G
117,газета,newspaper
118,где,Where
119,гектар,hectare
120,генерал,General
121,герой,hero
122,главный,main
123,глаз,eye
124,глядеть,look
125,говорить,speak
126,год,year
127,голова,head
128,голос,voice
129,голубь,pigeon
130,гора,mountain
131,гореть,Burn
132,город,city
133,городской,urban
134,горячий,hot
135,господин,Mr.
136,гость,the guest
137,государство,state
138,готовить,prepare
139,готовиться,prepare
140,готовый,ready
141,громко,loud
142,грудь,breast
143,группа,group
144,губа,lip
145,д,D.
146,да,Yes
147,давать,give
148,давно,for a long time
149,даже,even
150,далёкий,far
151,далеко,far
152,дальше,further
153,дать,to give
154,два,two
155,двадцать,twenty
156,двенадцать,twelve
157,дверь,Door
158,двести,two hundred
159,движение,movement
160,двор,yard
161,девочка,girl
162,девушка,young woman
163,девятый,ninth
164,девять,nine
165,девятьсот,nine hundreds
